iso3,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DOM,58029750745.6495,60681537195.79962,62682163837.34702,67179914026.962296,71164825256.6849,75704720189.5607,79997975621.86543,85555378042.81964,88941299733.50177,78844702329.07854
DZA,200013038488.9063,209058991952.12546,209755003250.664,213810023703.4463,165979173991.02603,160034162957.73782,170097230857.95645,175414987760.92725,171157803367.47278,145163902228.16794
ECU,79276664000.0,87924544000.0,95129659000.0,101726331000.0,99290381000.0,99937696000.0,104295862000.0,107562008000.0,108108009000.0,98808010000.0
EGY,235989672977.6248,279116666666.6667,288434108527.1318,305595408895.26544,329366576819.407,332441717791.411,235733695652.1739,249712999437.2538,303080865603.64465,363069245165.315
ESP,1478772824224.0273,1324820091194.6665,1354757433212.7202,1369398844599.5793,1195119269971.5168,1232076017361.5305,1309297246509.31,1421459363680.6702,1393490524517.6448,1281199091016.346
EST,23394844085.122623,23192708981.84456,25271406707.56597,26773473625.192135,23048864242.607212,24259552888.971664,26885077004.78024,30616184212.15923,31471100656.243088,31029968591.27791
ETH,31952763089.330025,43310721414.08288,47648211133.218285,55612228233.51786,64589334978.80132,74296618481.08823,81770791970.98204,84269348327.34543,95912590628.14124,107645054311.87555
FIN,275243697751.0112,258304834621.6049,271285280621.37253,274497230802.95764,234440080998.27307,240607907010.38336,255016517537.98276,275849574507.6923,268966065199.99957,271233883403.89178
FJI,3774530615.659157,3972012570.5346665,4190143206.2561097,4856963229.839992,4682546863.081617,4930204229.722633,5353404422.081378,5581393120.628532,5496250694.315867,4376014755.576148
FRA,2861408170264.605,2683825225092.6284,2811077725703.5894,2852165760630.2666,2438207896251.8413,2471285607081.7163,2588740901639.8096,2786502569559.7725,2715518274227.447,2603004395901.9526
FRO,2490807830.5735097,2366301251.618472,2627049837.0813527,2850743875.2783966,2518096285.6166115,2738832687.1369786,2899226097.623771,3051341335.951604,3126293219.77989,
FSM,311301600.0,327248700.0,317214400.0,319271200.0,316489900.0,332265200.0,366666800.0,401932300.0,408060600.0,
GAB,18210308748.29124,17170465294.033195,17595745653.367607,18203968001.89081,14383107714.038813,14023890620.338385,14929488770.731483,16862282413.877844,16874450215.135065,15593181270.91347
GBR,2659882040934.5127,2704017284861.9146,2783251090198.9497,3065521109394.938,2932784751846.2695,2693247611031.814,2662484018735.8237,2857316524862.6064,2830813507746.8687,2707743777173.91
GEO,15107441446.783278,16488403076.364077,17189551520.981125,17627003454.72051,14953950557.44062,15141758566.78075,16242916915.720263,17599700090.762005,17477255562.25826,15891688903.184303
GHA,39337314809.94344,41270954737.24588,62823043699.21873,51717482623.913216,47498906691.61821,54499451834.106094,58845211998.345474,65315955122.80766,67234292582.76058,72354428864.90323
GIN,6785137172.765169,7638045254.43072,8376613843.274754,8778473614.549713,8794202443.677536,8595955581.212664,10324668266.595018,11857030336.527449,13513809258.208292,15681050917.1588
GMB,1409694553.9093392,1415006238.0950897,1375608956.1038556,1229460601.9217408,1378176868.315681,1484579844.3714335,1504909753.2874622,1670670668.593905,1826073739.8252184,1901930157.6452816
GNB,1099818651.981141,989271229.6371624,1046087417.969158,1054915645.1965369,1048229629.4203922,1179004941.2290401,1350177127.552304,1504630120.992751,1439638443.3813329,1431758242.9037538
GNQ,21357343681.89659,22388344123.99161,21948834290.353775,21765453087.479534,13185496881.405462,11240808846.692804,12200913887.641876,13097012189.399487,11417278044.985857,10021856754.494387
GRC,282625610892.4772,242053529231.14642,238484046041.1776,235295470067.17603,195317994377.19653,192732474229.2176,199630819054.3016,212146107548.99612,205326724570.2271,189410106620.01608
GRD,778655925.9259259,799882259.2592592,842620111.111111,911497407.4074074,997007925.9259259,1061631222.2222222,1125685185.1851852,1168696296.2962961,1211403703.7037036,1089203703.7037036
GTM,46876114650.49965,49593961141.74837,52996540703.59434,57852399963.787796,62186186575.743324,66053725049.0138,71654134378.52992,73208583758.91052,77020015201.32005,77604632170.5853
GUM,4984000000.0,5265000000.0,5399000000.0,5610000000.0,5799000000.0,5901000000.0,6013000000.0,6051000000.0,6311000000.0,
GUY,3691384743.322857,4063090016.160684,4167801802.791802,4127664335.8269253,4279840361.6833415,4482697336.561744,4748174334.190189,4787635821.461159,5173759527.5070505,5471256594.72422
HKG,248513617677.28674,262629441493.47635,275696879834.9665,291459356985.3368,309383627028.5611,320837638328.8458,341244161576.7592,361691522612.7448,363016373358.5166,346585881503.6353
HND,17710315005.999863,18528601901.323956,18499710127.838535,19756494434.703056,20979767785.210434,21717622071.38165,23136232229.606888,24067778953.842033,25089976946.773567,23827840809.701447
HRV,62537851352.4904,56580819623.8529,58194069434.14229,57639588805.58706,49525747503.814926,51601147665.80891,55481644098.04945,61375222347.0256,60752588976.31748,55966581780.16876
HTI,13008748131.675026,13708931889.788399,14498080022.631725,14790765759.527426,14857386163.918356,13723267960.843424,14213814582.793766,15965670198.454798,14332163266.397657,13417997065.109932
HUN,141759722464.00238,128475498380.37926,135411698965.10875,140765018880.63263,125074286021.1397,128470534117.95366,142961605733.02582,160431092908.6455,163503650313.08057,155012927629.08673
IDN,892969107923.0942,917869910105.7491,912524136718.0182,890814755233.2253,860854235065.079,931877364177.7417,1015618742565.8127,1042271531011.9897,1119091259074.6206,1058423838345.1445
IND,1823049927772.0461,1827637859136.2344,1856722121394.419,2039127446299.302,2103587813812.1995,2294797980509.512,2651472946375.047,2701111782774.5703,2870504096717.477,2622983732006.447
IRL,237644567329.2913,224984397510.31018,238483849535.57352,258909619169.70004,291521892625.047,299556360839.6313,338503196943.167,385967106117.0993,398590210120.3366,418621818482.3046
IRN,580764902917.4391,598868460912.8467,460293149324.32556,432687036177.8182,384951479697.42004,417983583565.5399,445345256459.10547,294356680624.6583,258245497664.39365,191718271483.75903
IRQ,185749664444.44446,218002481737.69147,234637675128.64493,228415656174.95712,166774109673.73242,166602488747.88495,190643898226.35135,212271807144.36694,222434137055.83755,167224432560.3188
ISL,15221622925.931889,14751508133.544277,16125060515.31174,17867662177.89113,17517210519.091156,20793168030.952427,24728285177.460316,26224228693.39538,24836714771.46379,21714670569.60328
ISR,261013927690.22272,257173086463.6885,292692657451.9206,310047504908.5713,300122499721.2815,318616506157.9452,352667925811.0281,370455651179.95795,394652208893.13806,401953804837.0874
ITA,2291991045770.294,2087077032435.1492,2141315327318.207,2159133919743.7651,1835899237320.0383,1875797463583.867,1956950469673.287,2091117091124.097,2004913357799.9968,1886445268340.7056
JAM,14444655299.877172,14807086889.209892,14264202737.308249,13899228824.216091,14188935947.569372,14077109396.858387,14808989993.318459,15730793852.791348,15830768549.891571,13812421803.408361
JOR,29524149154.92958,31634561690.140846,34454440140.84507,36847643521.12676,38587017887.323944,39892551126.76057,41408960845.07043,42932112676.05634,44502895915.49296,43697659275.31367
JPN,6157459594823.717,6203213121334.122,5155717056270.827,4850413536037.841,4389475622588.974,4922538141454.615,4866864409657.679,4954806619995.188,5064872875604.594,
KAZ,192626507971.58383,207998568865.78925,236634552078.10205,221415572819.5,184388432148.71536,137278320084.17114,166805800595.7037,179339994859.38443,181667190075.5407,169835426427.1529
KEN,41953433591.41006,50412754861.0191,55096728047.94079,61448046801.60414,64007750169.33443,69188755364.29947,78965004656.18228,87778582964.13878,95503088538.09198,98842939649.1149
KGZ,6197766118.598557,6605139933.410631,7335027591.916281,7468096566.711584,6678178340.45121,6813092065.835074,7702934800.128364,8271106196.042646,8871019822.767035,7735976612.64163
KHM,12829541141.017519,14054443213.473097,15227991395.223467,16702610842.410551,18049954289.430058,20016747754.015266,22177200511.588196,24571753583.50398,27089389786.96842,25291251427.397865
KIR,181705002.57864878,190243321.59867468,185113921.60648772,179703443.30268615,171117872.43633085,178328873.03003272,187276210.91355,196737895.9952182,194647201.94647205,199573325.99270526
KNA,817759259.2592592,800414814.8148148,839770370.3703703,916566666.6666666,923155555.5555555,971170370.3703703,996944444.4444444,1010822222.2222222,1044711111.111111,927451851.8518518
KOR,1253223044718.987,1278427634342.5857,1370795199976.1794,1484318219633.6272,1465773245547.1497,1500111596236.3718,1623901496835.7908,1724845615629.2595,1646739219509.8928,1630525005469.1072
KWT,154068115942.02896,174070382279.3855,174161142454.16077,162631412508.78424,114567298105.68295,109419728566.69977,120707435412.35805,138182400493.58508,136196760180.97563,
LAO,8749241114.189129,10191350119.680822,11942230508.333982,13268458231.928415,14390442307.399641,15805692545.872349,16853087485.4118,17953786416.143097,18245925331.239628,19136194848.65335
LBN,39927125961.19403,44035991745.67164,46909335135.124374,48134486624.61028,49939374832.70315,51205122503.81426,53140638269.12106,54961275741.558876,51991634491.63449,33383246857.58003
LBR,2398000000.0,2721000000.0,3067000000.0,3144000000.0,3177000000.0,3277826000.0,3285455000.0,3264000000.0,3070518100.0,2950000000.0
LBY,34699395523.607254,81873662518.8238,65502870173.78312,41142722414.33511,27842131479.872574,26197143268.12428,37883243650.452,52607888717.948715,52091152228.342514,25418461532.200836
LCA,1576988407.4074073,1605146777.7777777,1664816740.7407405,1755130814.8148148,1808079888.8888888,1865375222.222222,1999090407.4074073,2065875074.074074,2122450629.6296294,1703364240.7407405
LKA,65292753005.46645,68434409315.112305,74317806538.3632,79356449840.57713,80604080688.57747,82401038709.5356,87421762728.62929,87954272082.10678,83975584254.40323,80706600228.64992
LSO,2579421686.2491217,2477702252.8007793,2367113170.003731,2441053175.7074275,2359759799.0422373,2114323793.982662,2306843528.5285287,2514146887.9166384,2366213068.575067,1844510137.6781683
LTU,43535051482.386894,42927454291.478,46523420074.437225,48533659592.17279,41418872976.11961,43018087237.57409,47640770634.42701,53696648755.434715,54639938780.23521,55887271833.00249
LUX,60004630234.41345,56677961787.071655,61739352212.3049,66103853236.75717,57744457954.72968,60691483443.122116,64023412339.70753,70885325883.09409,71104919108.14107,73263982103.01187
LVA,28374734038.003082,28324787663.654522,30436727789.436417,31329367172.740917,27239653843.502155,28052325862.04609,30383528686.290554,34399206589.8596,34055464655.325436,33505185228.706707
MAC,36845925519.44327,43189526777.55667,51536304807.680275,54903031137.70956,45060237946.149025,45085114632.71254,50456765512.085724,55302446577.88789,55153707948.70207,
MAR,101370474295.10872,98266306615.36324,106825649872.10754,110081248587.369,101179808076.3598,103311649248.02448,109682728023.11185,118096227400.09161,119700325461.93758,112870591694.04431
MCO,6088808463.25167,5743029680.071952,6555983530.349316,7069616048.89066,6261622101.409076,6472990923.179101,6431314957.071848,7194024563.060935,7423709839.9194,
MDA,8414360656.296322,8709165249.269283,9496684701.433247,9510219299.495567,7745231660.334246,8071480540.86068,9669759987.026327,11456728401.306902,11968699005.980051,11914040905.262583
MDG,11551821062.33342,11578978052.87889,12423557906.918175,12522959157.229525,11323023786.569822,11848615018.39801,13176313233.1978,13614412550.87222,14191911512.040983,13720634105.402988
MDV,2774351760.032872,2886170571.696345,3295011381.7540526,3697351596.8375335,4109447297.0070868,4379115587.829573,4754352303.892897,5299773143.696234,5642179170.458978,4030203166.7748213
MEX,1180489601957.612,1201089987015.4524,1274443084716.5674,1315351183524.544,1171867608197.7246,1078490651625.3127,1158913035796.37,1222348807283.1956,1268870527160.0325,1076163316174.9375
MHL,172188500.0,180436300.0,184840400.0,182142800.0,183814300.0,201510900.0,213204100.0,221588900.0,239462200.0,
MKD,10494822518.652498,9743277661.795408,10816616379.310345,11361563307.49354,10071243243.243244,10680463278.865147,11310265324.794146,12679934731.389103,12547086168.489635,12266949805.143559
MLI,12995113407.233463,12442036265.148426,13242691429.594193,14364937996.866072,13104764333.994068,14026048690.73124,15365714371.331633,17070866299.094511,17281815733.959595,17393761397.08054
MLT,9638916481.069042,9462238211.486574,10551661176.783106,11626281387.006775,11091434483.5238,11721521912.720167,13221298307.889402,14864712990.163084,15215714309.097391,14647384607.603998
MMR,54148124619.098335,53254531557.50559,58175459729.69076,59640204521.777275,60291736893.93968,61449392056.14883,67144725830.57528,68697759361.23097,79844294296.06468,76185586096.79738
MNE,4544516982.182628,4087725812.668637,4466040642.847655,4594024179.620034,4054712082.5474315,4377033429.267213,4856632399.457749,5506767831.837506,5542674764.890283,4778582336.182337
MNG,10409797649.306314,12292770631.19669,12582122604.19213,12226514722.086063,11749620619.596153,11186734674.384684,11425755279.53946,13108769495.747211,13996719329.423601,13137128659.47902
MNP,729000000.0,746000000.0,772000000.0,832000000.0,910000000.0,1230000000.0,1560000000.0,1302000000.0,1182000000.0,
MOZ,14381552432.949402,16350804543.051493,16974320551.02129,17716084107.58882,15950969018.945787,11936999283.179132,13219084261.366407,14845870050.70925,15291448211.603004,14021421105.907839
MRT,6764635686.793447,6728208836.221428,7223063169.727486,6592537781.815179,6166857628.622117,6398744505.081292,6757333550.27933,7050987978.120627,7600650037.846301,7778525642.928834
MUS,11518413429.968351,11668696526.21229,12129658758.325438,12803438964.943825,11692287066.381035,12232469391.757267,13259348213.989962,14181930162.41607,14046337854.8466,10914065306.242344
MWI,8004000737.307167,6028487928.8335085,5518880768.579554,6047813437.318044,6373212640.846044,5433040159.887466,8787570920.44408,9712994564.915964,10862613621.905966,11961848552.59767
MYS,297951960784.3137,314443149443.1494,323277158906.97894,338061963396.3763,301354803994.36694,301255380276.25775,319112136545.4376,358715057123.7392,364681367531.6838,336664444247.042
NAM,12523402326.917452,13042007432.359835,12043276401.416088,12435416063.468906,11335179560.986965,10721994676.24293,12895153157.346334,13681065175.486061,12565772084.744125,10699926682.651327
NER,8772951261.818071,9426913349.22319,10224897934.721954,10862944203.559116,9685577941.031952,10355006770.101397,11189541083.39747,12846952856.845798,12911689659.350994,13678234008.471367
NGA,404993594133.58203,455501524575.4981,508692961937.49243,546676374567.72064,486803295097.8898,404650006428.61285,375746469538.66595,397190484464.3077,448120428858.7692,432293776262.39795
NIC,9774351930.718016,10532049076.940718,10982979274.192244,11880434070.78112,12756706583.311321,13286083644.87614,13785909906.192493,13025208219.768518,12611218627.063225,12621476263.82778
NLD,904085980796.0177,838971306990.9064,876923518850.4048,890981311077.6582,765264949780.9987,783528181704.5667,831809944960.8787,913597086062.5995,907050863145.0966,912242335119.0686
NOR,498283438454.2811,509506317146.54065,522761531914.8936,498410050251.256,385801550067.1694,368827142857.1428,398393955268.99036,436999692591.45404,405509999999.99994,362008956544.8271
NPL,21621710002.511147,21703106502.492603,22162208956.08931,22731602969.686108,24360795410.159687,24524098184.4236,28971589213.134045,33111525182.713257,34186180694.92848,33657175561.329033
NRU,66055407.670314506,96927201.48484224,98491843.64419821,104654365.18865328,86779266.16191031,100087348.95909157,109585941.6245569,124021393.6904116,118223430.1244457,
NZL,168291357111.73914,176206659722.524,190906575136.0027,201313497220.91696,178064471137.9208,188943457301.47403,206950600690.39478,212225726657.86444,209127454522.9012,212482013605.04675
OMN,67871907375.44838,76511069704.32275,78555622509.26527,80686929102.19272,68420257566.60364,65441278668.29467,70585606843.77971,79788768968.94902,76331518668.57712,
PAK,213587413183.99557,224383620829.56964,231218567178.97867,244360888750.80704,270556131701.17093,278654637737.6899,304567253219.09705,314567541558.33887,278221906022.84106,263686552686.20825
PAN,34686200000.0,40429700000.0,45599900000.0,49921400000.0,54091800000.0,57907700000.0,62202700000.0,64928300000.0,66787899999.99999,52938100000.0
PER,171761737046.58508,192648999090.0819,201175469114.32693,200789362451.56744,189805300841.6028,191895943823.8867,211007207483.5148,222574697255.52243,228470919605.66925,202014363787.23282
PHL,234216930369.79575,261920509950.55508,283902728260.71594,297483247101.0379,306446140628.70856,318626761492.8673,328480867142.68994,346842094174.51306,376823278560.8486,361489354350.00024
PLW,196911100.0,212397800.0,221117200.0,241669800.0,280457700.0,295065400.0,286106800.0,280435700.0,268354900.0,
PNG,17984910501.897934,21295659243.616817,21261432791.267544,23210682538.392788,21723531173.24086,20759069103.096073,22742613553.68791,24109509852.740246,24829107011.07011,23591523025.28644
POL,528301269069.7988,498523568248.11914,521016262734.9237,542477096211.761,477811911394.0841,472630364208.17694,526508877305.3211,587408980271.7101,595862086928.2109,594164690894.9362
PRI,100351700000.0,101564800000.0,102450000000.0,102445800000.0,103375500000.0,104336700000.0,103445500000.0,100925000000.0,104914600000.0,103138300000.0
PRT,244797226567.1087,216236608773.9764,226369502104.23566,229596170846.99496,199313894327.4855,206286022781.89377,220811110492.1489,242194788533.53748,239510770948.27414,231255587276.7415
PRY,33756238766.500004,33296438306.474674,38651334287.67318,40377987208.68898,36211372702.808464,36089550659.091446,38997129473.55579,40225448340.632164,37906944074.61278,35304238230.11319
PSE,11186100000.0,12208400000.0,13515500000.0,13989700000.0,13972400000.0,15405400000.0,16128000000.0,16276600000.0,17133500000.0,15561300000.0
QAT,167775268614.03708,186833502362.1283,198727642979.2967,206224598564.62387,161739955577.7478,151732181857.11346,161099122215.3066,183334953813.20877,175837550996.18515,146373588866.511
ROU,183326740143.01648,170635805316.8791,190801346194.2967,199959363430.07285,177729210874.50385,188128818486.40128,211695422578.65515,241457403085.0416,249696854574.1995,248715551366.63525
RUS,2045925608274.3691,2208295773643.1494,2292473246621.0806,2059241965490.8254,1363481063446.766,1276786979221.8135,1574199387070.8982,1657328865709.9863,1687448525466.6135,1483497784867.6025
RWA,6881038269.61727,7650300319.829996,7815599502.656827,8241332516.54991,8539048447.78065,8690485823.145462,9253098954.277685,9640280084.195723,10355974217.373478,10333991891.703197
SAU,671238840106.6666,735974843360.0,746647127413.3334,756350347333.3334,654269902880.0,644935541440.0,688586244293.3334,786521831573.3334,792966838160.0,700117873249.2693
SDN,57892238677.555695,48243204173.783775,51215344066.25665,61731303935.22034,64458521787.08026,52804065669.91244,45017179069.09734,34522586970.00181,32250448249.45946,26110829190.40078
SEN,17814284622.171825,17660871725.9977,18918668644.194084,19797254643.121227,17774766636.04594,19040312815.13371,20996564751.599354,23116699808.172344,23306213742.36019,24910904235.85702
SGP,279351168707.26666,295087220933.0239,307576360584.9916,314851156183.41095,308004146057.6084,318763807455.6641,343337750742.26953,375981539145.9075,374386306993.1095,339998477929.9848
SLB,1049952233.2587386,1190994126.6043072,1284698922.227852,1335538893.3331525,1307061543.7098057,1378551118.4922373,1483758906.6105433,1574599182.6469665,1570215577.3607066,1551245525.6045
SLE,2942546781.0454803,3801862611.3641376,4920343194.993393,5015157815.734061,4218723875.1379037,3674794530.189564,3739577973.239432,4085114794.2232366,4121733705.291649,3865018882.897548
SLV,20283790000.0,21386150000.0,21990970000.0,22593460000.0,23438240000.0,24191430000.0,24979200000.0,26020850000.0,26896660000.0,24638720000.0
SMR,1813752783.9643652,1604779647.9506617,1678841811.6615753,1673973694.6990833,1419394771.2102852,1468377272.1385875,1528630707.4979439,1655300872.5342703,1616369645.9963503,
SOM,,,3892402684.756117,3963532302.465496,4048860871.413228,4198485403.879188,4508845348.327565,4720727283.20485,4942319040.698219,4917607582.2289505
SRB,49258136128.967155,43309252921.05673,48394239474.67616,47062206677.653946,39655958842.54775,40692643373.03274,44179055279.88872,50640650221.46222,51475016532.12934,52960134078.688835
STP,231489270.14452913,250680845.74783722,300554483.61162645,346528329.1832267,316066072.34375423,345495614.9799824,375614126.193877,412253809.728799,427425039.68433946,472914469.9193296
